acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,loudness,valence,loudness_instrumentalness_diff,energy_instrumentalness_diff,danceability_energy_diff,popularity
0.0421,0.623,225813,0.466,1.45e-06,0.0996,0.0265,-7.6,0.272,7.60000145,0.46599855,0.15699999999999997,69
0.695,0.738,174560,0.455,0.0,0.107,0.0352,-8.735,0.441,8.735,0.455,0.283,77
0.435,0.591,173011,0.758,0.0,0.179,0.0719,-5.4,0.412,5.4,0.758,0.16700000000000004,69
0.00683,0.575,183027,0.842,0.0,0.279,0.0348,-5.058,0.665,5.058,0.842,0.267,72
0.00481,0.554,211933,0.809,0.00156,0.111,0.039,-4.893,0.462,4.894559999999999,0.80744,0.255,69
0.538,0.565,177267,0.56,0.0,0.0961,0.0275,-6.034,0.325,6.034,0.56,0.004999999999999893,75
0.171,0.52,236456,0.751,7.4e-06,0.0624,0.0551,-5.064,0.519,5.0640074,0.7509926,0.23099999999999998,71
0.546,0.455,219640,0.4,0.0,0.0971,0.0293,-7.749,0.103,7.749,0.4,0.05499999999999999,69
0.0551,0.723,211227,0.633,1.93e-05,0.0665,0.0332,-6.982,0.498,6.9820193,0.6329807,0.08999999999999997,69
0.224,0.522,189307,0.801,0.0,0.301,0.1,-5.424,0.491,5.424,0.801,0.279,70
0.548,0.712,147692,0.684,0.0,0.168,0.0512,-4.887,0.513,4.887,0.684,0.027999999999999914,67
0.00302,0.901,196600,0.589,0.000237,0.0992,0.289,-6.713,0.399,6.713237,0.5887629999999999,0.31200000000000006,84
0.472,0.951,201280,0.692,0.000182,0.0894,0.312,-4.038,0.431,4.038182,0.6918179999999999,0.259,77
0.419,0.873,158805,0.695,1.23e-06,0.211,0.0459,-4.207,0.823,4.2070012299999995,0.69499877,0.17800000000000005,92
0.371,0.535,227562,0.874,0.0,0.192,0.137,-2.248,0.323,2.248,0.874,0.33899999999999997,82
0.583,0.835,162638,0.679,1.98e-06,0.218,0.0364,-5.329,0.85,5.32900198,0.6789980200000001,0.15599999999999992,97
0.108,0.774,212304,0.73,0.0,0.194,0.134,-3.865,0.421,3.865,0.73,0.04400000000000004,83
0.372,0.77,208935,0.521,3.91e-05,0.3,0.195,-6.982,0.222,6.982039100000001,0.5209609000000001,0.249,74
0.276,0.829,191607,0.747,0.0,0.339,0.149,-3.511,0.576,3.511,0.747,0.08199999999999996,80
0.0125,0.621,198938,0.782,0.033,0.23,0.044,-5.548,0.55,5.581,0.749,0.16100000000000003,97
0.0706,0.876,173119,0.498,0.0,0.143,0.0478,-7.511,0.428,7.511,0.498,0.378,91
0.263,0.627,209160,0.858,0.0,0.21,0.386,-2.824,0.342,2.824,0.858,0.23099999999999998,88
0.00127,0.873,190654,0.826,0.0361,0.311,0.0876,-0.722,0.201,0.7581,0.7898999999999999,0.04700000000000004,89
0.0999,0.85,168601,0.756,0.0,0.0873,0.0407,-3.439,0.896,3.439,0.756,0.09399999999999997,81
0.251,0.751,151325,0.761,0.000238,0.0991,0.15,-4.113,0.553,4.113238000000001,0.760762,0.010000000000000009,83
0.184,0.919,157018,0.623,1.63e-05,0.0609,0.0992,-6.521,0.775,6.5210163,0.6229837,0.29600000000000004,91
0.0396,0.795,191555,0.672,0.0,0.0783,0.0574,-4.392,0.805,4.392,0.672,0.123,82
0.0798,0.816,230653,0.77,0.0,0.118,0.0538,-5.477,0.671,5.477,0.77,0.04599999999999993,84
0.0584,0.736,229065,0.727,1.91e-06,0.0976,0.0571,-4.642,0.644,4.64200191,0.7269980899999999,0.009000000000000008,88
0.121,0.813,190745,0.772,0.0,0.0886,0.117,-4.921,0.443,4.921,0.772,0.040999999999999925,80
0.0993,0.65,243717,0.715,0.000291,0.126,0.253,-5.198,0.187,5.198291,0.7147089999999999,0.06499999999999995,95
0.298,0.704,141340,0.756,3.75e-06,0.0852,0.448,-4.948,0.461,4.948003750000001,0.75599625,0.052000000000000046,88
0.0451,0.647,166253,0.801,0.0,0.0628,0.249,-2.946,0.517,2.946,0.801,0.15400000000000003,85
0.0357,0.705,303627,0.799,0.417,0.0643,0.0347,-4.776,0.658,5.193,0.38200000000000006,0.09400000000000008,73
0.238,0.627,112572,0.429,0.0,0.122,0.234,-8.255,0.565,8.255,0.429,0.198,87
0.0492,0.835,176471,0.747,0.0,0.055,0.083,-4.65,0.432,4.65,0.747,0.08799999999999997,87
0.0509,0.868,232843,0.878,0.00052,0.0857,0.038,-3.294,0.899,3.29452,0.87748,0.010000000000000009,79
0.121,0.594,194019,0.527,0.0,0.234,0.0335,-9.335,0.692,9.335,0.527,0.06699999999999995,89
0.102,0.87,156400,0.55,0.0,0.293,0.0722,-5.537,0.566,5.537,0.55,0.31999999999999995,86
0.0328,0.69,177627,0.58,0.0,0.328,0.199,-4.395,0.708,4.395,0.58,0.10999999999999999,76
0.0895,0.825,170397,0.758,0.0,0.0661,0.238,-1.73,0.828,1.73,0.758,0.06699999999999995,75
0.726,0.676,171724,0.441,0.0,0.0884,0.0253,-6.929,0.515,6.929,0.441,0.23500000000000004,75
0.389,0.771,228750,0.707,0.0,0.0745,0.055,-6.404,0.317,6.404,0.707,0.06400000000000006,84
0.066,0.803,208895,0.779,2.23e-05,0.111,0.0694,-4.449,0.317,4.4490223,0.7789777,0.02400000000000002,78
0.803,0.759,180673,0.561,0.121,0.101,0.131,-5.643,0.491,5.763999999999999,0.44000000000000006,0.19799999999999995,89
0.325,0.765,189080,0.624,0.0,0.104,0.0929,-4.932,0.277,4.932,0.624,0.14100000000000001,76
0.618,0.592,209579,0.625,9.71e-05,0.287,0.2,-6.203,0.555,6.2030971,0.6249029,0.03300000000000003,75
0.0407,0.809,198520,0.649,0.0,0.145,0.0416,-4.433,0.72,4.433,0.649,0.16000000000000003,85
0.0911,0.68,175317,0.808,2.23e-06,0.205,0.224,-3.854,0.868,3.8540022300000003,0.8079977700000001,0.128,84
0.305,0.647,197647,0.662,0.0,0.359,0.125,-2.955,0.693,2.955,0.662,0.015000000000000013,79
0.785,0.674,176373,0.456,0.0,0.126,0.0399,-6.253,0.933,6.253,0.456,0.21800000000000003,78
0.141,0.801,213061,0.475,1.73e-05,0.0639,0.0516,-8.797,0.234,8.7970173,0.4749827,0.32600000000000007,94
0.56,0.732,152923,0.573,9.34e-06,0.0543,0.0237,-5.733,0.882,5.73300934,0.57299066,0.15900000000000003,79
0.234,0.695,172235,0.636,0.0,0.081,0.317,-4.654,0.575,4.654,0.636,0.05899999999999994,88
0.192,0.757,234667,0.856,0.0,0.065,0.0605,-4.494,0.764,4.494,0.856,0.09899999999999998,72
0.077,0.713,157000,0.617,0.0,0.354,0.0372,-6.247,0.416,6.247,0.617,0.09599999999999997,73
0.00762,0.625,233520,0.839,2.35e-05,0.464,0.0927,-4.824,0.771,4.8240235,0.8389765,0.21399999999999997,79
0.116,0.747,188411,0.752,0.0,0.128,0.0417,-5.324,0.512,5.324,0.752,0.0050000000000000044,73
0.628,0.859,243934,0.553,0.00011,0.109,0.0456,-5.726,0.338,5.72611,0.55289,0.30599999999999994,74
0.152,0.812,193806,0.736,0.00254,0.0914,0.0833,-5.421,0.396,5.42354,0.73346,0.07600000000000007,81
